config,bkspace_d,sigma_clip,cases,failures,median_det_mad,median_trend_mad,median_trend_range,raw_neg_q0,retained_neg_q0,worst_p16_retention,worst_median_retention,max_p84_retention,retained_neg_q0_frac,pass_retention_90_110
bk0.3_sig3,0.3,3.0,33,0,0.12914324136374344,0.01046557223662735,0.039683332065865495,117915,117915,0.6125612364149646,0.6356600440067733,0.9998706221203215,1.0,False
bk0.3_sig5,0.3,5.0,33,0,0.12911120130975087,0.010309266452822987,0.04920171843573862,117915,117915,0.6127428457281872,0.6214049258201824,0.9993131345238011,1.0,False
bk0.5_sig3,0.5,3.0,33,0,0.14905288185966822,0.024955740144075374,0.15519150359381872,117915,117915,0.7661274975088731,0.7785340099895576,0.9999737660113475,1.0,False
bk0.5_sig5,0.5,5.0,33,0,0.1492922108679666,0.02795471488442002,0.14449010543294816,117915,117915,0.762026653153874,0.7709979709506403,0.999241155716609,1.0,False
bk0.8_sig3,0.8,3.0,33,0,0.15682024255885402,0.04869647516881707,0.19372407410355497,117915,117915,0.9284862519252082,0.9600482715484899,1.0004971355573484,1.0,True
bk0.8_sig5,0.8,5.0,33,0,0.15810848149677045,0.052179099896945455,0.20388517103385795,117915,117915,0.9470209461384524,0.9572393664686502,0.9997923003789286,1.0,True
bk1.2_sig3,1.2,3.0,33,0,0.1618128464545866,0.06703329750116169,0.24334048372637307,117915,117915,0.9525732184131203,0.9642336840683934,1.0013376278866197,1.0,True
bk1.2_sig5,1.2,5.0,33,0,0.1677449746507462,0.07125192443374122,0.3010996890937584,117915,117915,0.9572727518458645,0.9684469430440991,1.000441133018597,1.0,True
bk2_sig3,2.0,3.0,33,0,0.1988362862738913,0.09661150045375072,0.4298622426886549,117915,117915,0.9555384369602368,0.9707090232083977,1.0018288049172388,1.0,True
bk2_sig5,2.0,5.0,33,0,0.19902850444896772,0.09887039116151716,0.42771017203382444,117915,117915,0.9551305063431316,0.9702892498296649,1.0001959789354684,1.0,True
