camera,ccd,detector,n_targets,n_pass,n_review,n_fail,pass_fraction
1,1,cam1_ccd1,1656,1626,30,0,0.9818840579710145
1,2,cam1_ccd2,1761,1741,19,1,0.9886428165814878
1,3,cam1_ccd3,1487,1458,28,1,0.980497646267653
1,4,cam1_ccd4,1534,1497,37,0,0.9758800521512386
2,1,cam2_ccd1,2504,2365,134,5,0.9444888178913738
2,2,cam2_ccd2,3474,3275,197,2,0.9427173287276914
2,3,cam2_ccd3,2579,2513,62,4,0.9744086855370299
2,4,cam2_ccd4,2029,1959,70,0,0.9655002464268112
3,1,cam3_ccd1,1756,1637,117,2,0.9322323462414579
3,2,cam3_ccd2,1564,1472,89,3,0.9411764705882353
3,3,cam3_ccd3,1478,1408,67,3,0.952638700947226
3,4,cam3_ccd4,2562,2386,175,1,0.9313036690085871
4,1,cam4_ccd1,2074,1988,85,1,0.9585342333654774
4,2,cam4_ccd2,1657,1587,67,3,0.9577549788774894
4,3,cam4_ccd3,1611,1528,79,4,0.9484792054624457
4,4,cam4_ccd4,1724,1675,47,2,0.9715777262180975
