aperture,magnitude_bin,n,supported,tmag_median,mad_ppm_median,mad_ppm_p90,rms5_ppm_median,mad_envelope_status,rms_envelope_status
DET_FLUX_ADP_SML,"(-0.001, 18.0]",1627,True,17.345558027289655,117575.05608000158,237619.4964590683,118266.96405694474,pass,pass
DET_FLUX_ADP_SML,"(18.0, 19.0]",3499,True,18.648478588941703,306248.22697947593,475112.62402677035,308948.091931961,pass,pass
DET_FLUX_ADP_SML,"(19.0, 19.5]",4490,True,19.29934190705889,465200.0151603514,651897.8169015634,470857.6962976565,pass,pass
DET_FLUX_ADP_SML,"(19.5, 20.0]",10345,True,19.801089377639077,586956.2936393849,772316.621705568,592168.2349797961,pass,pass
DET_FLUX_ADP_SML,"(20.0, 20.5]",10177,True,20.18683152085265,652078.656612938,835700.7348775862,656877.6866704748,pass,pass
DET_FLUX_ADP_SML,"(20.5, 30.0]",1308,True,20.59130389681697,681559.321597938,871667.7665387117,687792.9166696253,pass,pass
DET_FLUX_ADP,"(-0.001, 18.0]",1627,True,17.345558027289655,161343.95428583556,270679.9689328058,163412.5730112328,pass,pass
DET_FLUX_ADP,"(18.0, 19.0]",3499,True,18.648478588941703,344109.62199677114,501694.85456397216,349054.75603093277,pass,pass
DET_FLUX_ADP,"(19.0, 19.5]",4490,True,19.29934190705889,437790.0884951181,648964.4448154644,444593.20008197875,pass,pass
DET_FLUX_ADP,"(19.5, 20.0]",10346,True,19.80112011791567,467806.0445911394,736952.5996057817,475529.2444464239,pass,pass
DET_FLUX_ADP,"(20.0, 20.5]",10179,True,20.186853409931594,460684.2126806222,754930.0369948987,467920.62633227004,pass,pass
DET_FLUX_ADP,"(20.5, 30.0]",1308,True,20.59130389681697,437066.80949381425,740003.3578632846,442434.10582275235,pass,pass
