tic_id,has_h5,h5_status_class,is_julien_example,source_ids,n_source_ids,max_pwd,min_pwd,any_highconf_wd,tic_match_statuses,gaia_twirl_tmag_min,gaia_twirl_tmag_max,unique_tic_tmag_min,unique_tic_tmag_max,tic_bridge_source_count,n_obs_rows,orbits,detectors,cameras,ccds,colpix_min,colpix_max,rowpix_min,rowpix_max,any_edge_warn
267574918,True,has_h5,True,2146576589564898688,1,0.997473,0.997473,True,unique_tic,16.32809517853846,16.32809517853846,16.338,16.338,1,2,119;120,cam4/ccd1,cam4,ccd1,353.60898,353.60898,52.68431,52.68431,False
298666530,True,has_h5,True,2154363086096593536,1,0.903566,0.903566,True,unique_tic,18.32601204518592,18.32601204518592,18.3324,18.3324,1,2,119;120,cam4/ccd1,cam4,ccd1,1008.18054,1008.18054,903.6482,903.6482,False
406539395,True,has_h5,True,2826254713186397440,1,0.997183,0.997183,True,unique_tic,17.16013809456158,17.16013809456158,17.1527,17.1527,1,2,119;120,cam1/ccd1,cam1,ccd1,322.0744,322.0744,1760.331,1760.331,False
1201294971,True,has_h5,True,1643760297158768512,1,0.963292,0.963292,True,unique_tic,18.334432967378017,18.334432967378017,18.3986,18.3986,1,2,119;120,cam4/ccd3,cam4,ccd3,1473.1575,1473.1575,670.6938,670.6938,False
1400899528,False,tic_tmag_gt_20_catalog_cut,True,1439208012920230656,1,0.910251,0.910251,True,unique_tic,19.83029591133148,19.83029591133148,20.0136,20.0136,1,2,119;120,cam4/ccd4,cam4,ccd4,720.31165,720.31165,1764.8823,1764.8823,False
1551395445,True,has_h5,True,2152046728630961664,1,0.952077,0.952077,True,unique_tic,18.92879278944836,18.92879278944836,18.9448,18.9448,1,2,119;120,cam4/ccd1,cam4,ccd1,844.46063,844.46063,1526.8158,1526.8158,False
1883504789,True,has_h5,True,2138404091435577216,1,0.89294,0.89294,True,unique_tic,18.35562301213713,18.35562301213713,18.3634,18.3634,1,2,119;120,cam3/ccd4,cam3,ccd4,1206.202,1206.202,823.39594,823.39594,False
1883654820,True,has_h5,True,2141589372324806144,1,0.998756,0.998756,True,unique_tic,19.68967619226055,19.68967619226055,19.797,19.797,1,2,119;120,cam3/ccd4,cam3,ccd4,1139.2797,1139.2797,478.60156,478.60156,False
1961800465,True,has_h5,True,1968962473350177664,1,0.660677,0.660677,False,unique_tic,17.93504507084297,17.93504507084297,17.9791,17.9791,1,2,119;120,cam2/ccd2,cam2,ccd2,1001.2047,1001.2047,243.13109,243.13109,False
1976964633,True,has_h5,True,2180211092640742272,1,0.991107,0.991107,True,unique_tic,18.617706045096018,18.617706045096018,18.6308,18.6308,1,2,119;120,cam3/ccd1,cam3,ccd1,1333.7096,1333.7096,1732.679,1732.679,False
